"size","Description","color","Barcode","SKU","RRP"
,"KICK HI GRAD BLU  PLU 1547","BLK","10007288","TUB5500",68.99
,"VDCZK14 MERCER BLACK/PRISM PINK
PLU29","WHITE BLK","10007728","TAM0001",34.99
,"M9160 CONVERSE ALLSTAR HI BLACK PLU 99","BLACK","10007935","PRT1111",57
,"RED OX CONVERSE PLU83","RED","10007948","TAS6410",50
,"M9165 - CT ALLSTAR OX PLU221","UNBLEACH","10007961","GOD1000",44.99
,"BLACK OX 15000 PLU 85","BLACK","10007974","WTC4970",52
,"OPTICAL WHITE LOW PLU 102","OPT WHITE","10007987","AKA2280",52
,"HI RED CONVERSE PLU78","RED","10008000","VIV6500",55
,"NAVY OX CONVERSE PLU84","NAVY","10008013","COK3110",52
,"UNISEX CT ALLSTAR HI CANVAS NAVY TRAINER","NAVY","10008026","FCP1881",57
,"HI WHITE 16000 PLU 71","WHITE","10008039","OZZ1000",49.99
,"MENS KICK HI M CORE BLK BLACK LEATHER PLU 1572","BLACK","10008058","TUB1503",95
,"UNISEX HI CANVAS TRAINER","OPT WHITE","10008289","RAF5000",57
,"KICK LO BLK LEATHER LACE UP 
PLU 1545","BLACK","10008432","BEX1600",90
,"KICK LO T BLK 27050","BLACK","10008454","BEX1200",64.99
,"MAGNUM CLASSIC CLEN","BLACK","10008556","BBS2001",84.99
,"CLASSIC BOAT NAVY PLU 134","DITTO","10015155","MAN1224",125
,"033123 KIDS ROMA BIRKO-FLOR","KHAKI","10008947","LES6000",29.99
,"BSTOCK MADRID MOCCA","MOCCA","10008960","BBD8001",44.95
,"BSTOCK WOMENS MADRID BLKPATENT 15000","BLK PATENT","10008969","BJJ9001",44.95
,"BSTOCK MADRID SILVER 15000","SILVER","10009930","VZX3010",55
,"BSTOCK MADRID WHITE 15000","WHITE","10008996","VTC1001",55
,"GIZEH SILVER 20000","SILVER","10009014","SNB1015",65
,"051731 - ARIZONA BIRKO FLOR WHITE","WEIB","10009023","IGF3001",65
,"TODDLER KICK HI BLK PATENT BOOT 
PLU 2171","BLACK PAT","10009233","TOM1400",50
,"KICK HI BLK PATENT BOOT PLU 2171","BLACK PAT","10009249","TOM1200",55
,"KICK LO BLU/GRAD M
PLU 1546
SIZES 40-46","BLK BLUGR","10009349","BXY1000",70
,"KICK HI CHOC 32000","CHOCO BROW","10009385","VID5001",69.99
,"LADIES KICKLO AZTEC BLK/BLK  BUCKLE
LEATHER PLU 2178","BLACK","10009416","BEX1400",85
,"KICK LO AZTEC BLK/PINK","BLACK PINK","10009429","BAM3001",62
,"KICK LOT BLK/PINK 27050","BLACK PINK","10009516","KFJ1700",64.99
,"KICK LOT BLK/SKY -LAETHER BUCKLE PLU 1989","BLK SKY","10009551","BEX1300",64.99
,"CHRISTINA NAPPA - 12488002","BLACK","10009827","TIN3241",49.99
,"CAYMAN KHAKI 12000","KHAKI","10009965","GTA1115",29
,"10006-609 CAYMAN KIDS CROCS","RUBY","10010000","RUB1111",19
,"KIDS RUBBER FLIPFLOP","FUSHIA","10010008","SUB3001",19
,"PINK OX CONVERSE PLU 98","PINK","10010266","MMA7420",44.99
,"KICK HI M CORE BLACK/SILVER 
S:40-46
PLU:2329","BLC SILVER","10010357","SAS1200",75
,"CRIB BOAT PINK 10000","PINK","10010375","BBW1001",29.99
,"KICK HI BLK/SKY  SIZES 36-42
PLU 2161","BLK SKY","10010577","MAM1001",54.99
,"KICK HI BLK/SKY LEATHER 
PLU 2161","BLK SKY","10010590","KFC1001",75
,"KICK HI BLK/PINK 32000","BLACK PINK","10010599","MVP3001",75
,"WOMENS KICK LO BLACK LEATHER SHOES","BLACK","10011117","RIN1001",70
,"MENS KICK HI PHAT BLK LEATHER 
PLU 1927","BLACK","10011143","BEX1500",80
,"KICK HI BLK/WHITE PLU 2302","BLACK","10011217","MAN2001",68.99
,,"HONEY","10012447","VWV2119",99.99
,"MEN STEEL TOE GRAFTERS BLK13098","BLACK","10012531","IJY4470",48
,"BSTOCK MADRID RED PATENT15000 PLU 49","RED","10012588","JEM1123",44.95
,"CROC MOBILE ACCES 3016","ANY COLOUR","10012729","RTE1003",6.99
,"10006-430 CAYMAN KIDS CROCS","BLUE","10012801","RED1112",20
,"10006-440 CAYMAN KIDS CROCS","TURQUOISE","10012812","GTA1111",20
,"10006-450 CAYMAN KIDS CROCS","BABY BLUE","10012830","BBB8888",20
,"10034-001 MARY JANE KIDS CROCS","BLACK","10012841","BLK1212",20
,"MADRID WHITE PAT 15000","WHITE PATENT","10013116","BOU4200",44.95
,"BLK/RED GYM SACK 4050","BLACK RED","10013195","KIO2214",10
,"CHUCK TAYLOR ALL STAR YOUTHS RED","RED","10013241","IKA5480",34
,"KICK HI M CORE BLK GOLD 40-46
PLU:2328","BLACK GOLD","10013252","BAM1200",75
,"KICK KILO INFANT","BLACK","10013339","PAP2001",50
,"JUNIOR KICK KILO BLK STRAP PLU 1926","BLACK","10013353","TEX1305",57
,"KICK LO JUNIOR CORE BLACK/BCLK/BLCK","BLACK","10013381","BAS2004",60
,"KICKLO VELCRO BLK PLU 2011","BLACK","10013404","JAM2001",50
,"KICK LOW VELCRO JUNIOR CORE BLACK/BCLK/BLCK","BLACK","10013418","RAY1979",58
,"KICK HI BLK LEATHER CORE PLU 348","BLACK","10013443","DEV2001",50
,"KICK HI BLK  LEATHER PLU 348","BLACK","10013458","LOL2009",55
,"GRIFFIN D.BROWN 31090","DARK BROWN","10014152","RIN1114",64.99
,"KATYA BUNNY SILVER/PEWTER","SILVER","10014551","FAI1001",59.99
,"VALERIE BOOM CASUAL KNEE BLACK","BLACK","10014564","EBI1001",59.99
,"HOLTON HONEY33033","HONEY","10014724","PEW1001",99.99
,"HI PINK CONVERSE PLU 101","PINK","10015309","PAW1001",49.99
,"88865 FRIST STAR NAVY BABY CANVAS","NAVY","10034408","AAK4711",25
,"FRIST STAR BABY PINK","PINK","10034412","GIG0011",25
,"NANNY ESTATE GOLD 8000","GOLD","10015332","POI3001",44.99
,"NANNY ESTATE BLK MESH  8000","BLACK","10015345","NBV2001",44.99
,"NANNY ESTATE WHITE LEA 8000","WHITE","10015358","MZF3001",44.99
,"NANNY ESTATE SILVER 8000","SILVER","10015371","RER3001",44.99
,"BLK CANVAS 8000","BLACK","10015397","LAD2001",49.99
,"GREY LEATHER 8000","GREY","10015419","ZEA0001",49.99
,"14 INCH BLACK BOOT PLU 170","BLACK","10015715","ABL2001",130
,"KICK BLING SILVER 42-46","BLC SILVER","10016130","RAY1010",74.99
,"1460 RED PATENT 29075","RED","10016177","HAN1255",90
,"MENS EVERLY CAMOUFLAGE JAQUARD DARK GREY TRAINER","DARK GREY","10034886","ABB1114",110
,"KIDS HI BLK/BLUDRAD22000 22-30","BLK","10016312","WEE8001",44.99
,"KICK HI BLK/BLOSSOM KIDS 
 PLU 2169","BLK","10016337","DEV9001",44.99
,"KIDS HI BLK/BLOSSOM PLU 2169","BLK","10016353","TOM1300",49.99
,"1460W PATENT LAMPER - 11821670","HOT PINK","10016369","SIF4321",90
,"MENS AVI MATTE/SMOOTH  WHITE/BLACK TRAINER","WHITE","10016472","JJG0001",75
,"MENS ARNAUD TWILL/COATING HI TRAINER MOON/BLACK","MOON","10016559","HIH0001",80
,"MENS ARNAUD TWILL/COATING HI TRAINER MIDNIGHT/BLACK","MIDNIGHT","10016599","NIC0001",80
,"MENS ARON NEOPRENE HI BLACK TRAINER","BLACK","10016625","HEE0001",80
,"MENS ARMAND NEOPRENE LOW BLACK TRAINER","BLACK","10016638","AAB0001",65
,"WOMENS WANDA MATTE SMOOTH BLACK/WHITE TRAINER","BLACK","10016664","MIL0001",75
,"WOMENS WANDA MATTE SMOOTH MIDNIGHT/NAVY TRAINER","MIDNIGHT","10016700","SAA0001",75
,"WOMENS VOSS SUEDE BLACK WEDGE TRAINER","BLACK","10016832","ALL0001",80
,"WOMENS TIYA NYLON SUEDE BLACK/PEARL GREY TRAINER","BLACK","10016861","ROC0001",95
,"STEEL TOE HONEY 21019","HONEY","10018100","FXZ9004",45
,"88877 BABY FRIST STAR WHITE","OPT WHITE","10018607","BIG1000",25
,"RED BABY FRIST STAR","RED","10018617","CON7750",25
,"108742 ONE STAR 3V OX WHITE/BLACK","WHITE BLK","10018683","RYO5227",49.99
,"MENS 6 INCH PREMIUM BLACK NUBUCK LEATHER ANKLE BOOTS","BLACK","10019680","PRE1001",180
,"MAYARI WHITE 20000","WHITE","10019973","GIB2233",54.95
,"1460 WHITE PATENT 29075","WHITE","10020021","MAN3214",90
,"MADRID ROSE RED 15000","ROSE BLOS","10020069","LEE5001",39.5
,"MADRID CITRUS 14050","LEMON PATENT","10020153","PIN9000",39.95
,"MAYARI BLK 20000","BLACK","10020171","HEI2001",54.95
,"MADRID PLUM PURPLE 15000","PURPLE","10020180","PHA5501",39.5
,"20599 - SPLIT ROCK","BLACK","10020461","ASS2001",115
,"WF265338 - CHAMPION CVO PLU4","BERRY","10020809","PLK0912",26.99
,"109864 - CT DBL UPP GUITAR OX","BLACK MULI","10020874","HPP6543",39.99
,"MF22597 - CHAMPION CVO PLU6","WHITE","10021173","TQT6655",29.99
,"CHAMPION BLK 14040","BLACK","10021184","JDS0104",29.99
,"307222 - CT DBL UPP OX","GREY","10021260","SOD2000",23.99
,"WF34100 - CHAMPION 2K CVO PLU1","BLACK","10021387","FDS8970",26.99
,"ARIZONA BROWN 18050","BROWN","10021400","MAR5100",54.95
,"LEATHER/CUIR/TEXTILE","HEATHER","10021726","CAL1001",169.99
,"1206010101 CAYMAN","CANDY","10022004","TYR6001",29
,"KICK HI LEATHER YOUTH PLU 1572","BLACK","10022030","RAY1800",70
,"KICK LO BLK YOUTH BLACK LEATHER PLU 1545","BLACK","10022043","RAY1000",65
,"KICK HI BLK/SKY PLU 2161","BLK SKYBLU","10022095","BAB1001",59.99
,"ANNA WOMENS BLK 47062","BLACK","10022225","NKR1234",129.99
,"KICKHI CORE SKY BLACK","BLK SKY","10022297","AYA1008",49.99
,"K HI STRAP BTS BLACK 22000","BLACK","10022394","ISH2001",44.99
,"MENS S2285PLASH IR SLIDE BLACK/BLK/RED","NAVY","10022410","SAM1422",30
,"KICK T CORE BLACK BUCKLE 
PLU 1921","BLACK","10022433","AYA2001",50
,"JUNIOR KICK T CORE BLACK BUCKLE LEATHER PLU 1921","BLACK","10022453","TEZ1900",55
,"HI RED KIDS 11000","RED","10022925","SBT1988",29
,"IN HI KIDS BLK 11000 PLU124","BLACK","10022938","ZTP2002",35
,"YT CHUCK TAYLOR ALLSTAR HI YOUTH CORE BLK","BLACK","10022954","BUA4000",37
,"HI PINK KIDS PLU111","PINK","10022961","NNB4002",27
,"HI YOUTH CONVERSE PINK","PINK","10022976","GGA7881",34
,"HI NAVY KIDS 11000","NAVY","10022984","LHP3361",29
,"HI YOUTH CONVERSE NAVY PLU 110","NAVY","10023000","PVC8004",34
,"CRIB WNTBRY BLK 15000","BLACK","10023055","SUQ1010",29.99
,"MENS H2285ARLOW IM TRAINERS MIDNIGHT","MIDNIGHT","10023060","LAM1211",55
,"CRIB WNTBRY WHITE 15000","WHITE","10023065","ACE1001",29.99
,"41079 SPLIT ROCK TB BROWN PLU206","BROWN","10023104","USA0900",94.99
,"SPLIT ROCK BROWN 38075","BROWN","10023117","LOL7001",110
,"88580 MT WASH CHELS BLACK PLU201","BLACK","10023156","PKL2001",119.99
,"YT AS YOUTH OX BLK PLU108","BLACK","10023645","TAT0003",35
,"12665001 DrM MILTON OVERDRIVE 31090","BLACK","10024172","GAN0020",64.99
,"12891001 - DARCIE PATENT LAMPER","BLACK","10024181","JFK0666",79.99
,"13229001 - CARLA PALATINO+ALLIGATOR","BLACK","10024194","IDI2001",84.99
,"13228201 - CARLA PLATINO+ALLIGATOR","DARK BROWN","10024207","HAN4321",84.99
,"12939001 - VANNA NAPPA","BLACK","10024220","SSS1944",94.99
,"12938618 - VANNA PALATINO","WINE","10024233","ISH1000",94.99
,"1460 BLK PATENT 29080","BLK PATENT","10024246","KLA7891",159
,"CT CAMO HI GREEN 1H666","GREEN","10024325","ANT0443",34.99
,"UNISEX BLK SMOOTH 34010","BLACK","10024425","TFL6271",159
,"KICKHI SILVERMETAL 31-35 28000","SILVER","10024629","KIC3001",49.99
,"LEGO PRINT WHITE 28000 22-30","WHITE","10024889","FEZ1200",49.99
,"LEGO PRINT WHITE 30050 31-35","WHITE","10024941","KCQ7000",54.99
,"LEGO EYELET RED 30050 31-35","RED","10024967","AAA1111",54.99
,"OX KIDS RED 11050","RED","10025170","CCM9014",32
,"3J235 ALLSTAR KIDS OX CONVERSE","BLACK","10025261","OBI4921",25
,"511531 AS LIGHT OX","NAVY","10025287","PAU1290",39.99
,"112419 - CT DBL TNG PLAID OX","GREY","10025300","RDP1230",39.99
,"112431 CT SEQUINS HI TIGER","TIGER","10025352","TNT9000",59.99
,"LIGHT OX CANVAS OPTICAL WHITE 17000","WHITE","10025365","WSX1360",39.99
,"AS DOUBLE TONG GREY/FREESIA/YELLOW OX","GREY","10025378","HSO4470",39.99
,"112409 - CT LTHR EMBOSS OX PLU57","BLACK","10025391","SUE2500",59.99
,"112459 CT AC/DC HI NAVY/CRANBERY PLU 142","NVYCRANBRY","10025417","UCF2001",59.99
,"KIDS 7J256 CHUCK TAYLOR ALLSTAR OX
PLU131","OPT WHITE","10025534","IRA8011",30
,"INFANT  CHUCK TAYLOR ALL STAR OX RED","RED","10025547","WIN3180",27
,"OX PINK 10000","PINK","10025560","KKK9066",27
,"OX NAVY KIDS PLU 105","NAVY","10025612","FDS6755",27
,"COLORADO CHOC 43019 MDWN","CHOCOL","10025846","NKU2215",99.99
,"CHRISTINA-GREY 10000","GREY","10026080","POI7710",29.99
,"CHRISTINA-GOLD 7050","GOLD","10026106","POI8950",29.99
,"12488100 - CHRISTINA NAPPA CBR PLU:5","WHITE","10026119","GGA1980",29.99
,"1460 W  WHITE AQUA","WHITE AQUA","10026132","ZXC8421",58.99
,"1460 W -WHITE LILAC 16000","WHT LILAC","10026145","KFC6114",58.99
,"EMILIO BISCUIT 15000","BISCUIT","10026210","BBV0051",48.99
,"EMILIO DRK BRWN 15000","DARK BROWN","10026236","MNB1111",48.99
,"KELSEY COUCHO BRWN  12000","DARK BROWN","10026249","ASD0081",45
,"92565 - 6"" PREMIUM PLU9","WHEAT","10026353","MCP1210",93
,"92566 - 6"" PREMIUM PLU10","BLACK","10026366","USR6670",93
,"92567 - 6""PREMIUM PLU11","BLACK","10026379","TWE4021",93
,"KICK CHI WHITE 22000 22-30","WHITE AQUA","10026678","XXX1234",44.99
,"112421 - CT DBL TNG OX","CHOCOL","10026808","GAY0001",39.99
,"ROCK SKIPPER JUNIOR","WHITE PINK","10026822","ASA1008",27
,"65914 ROCK SKIPPER JUNIORS PLU103","PINK","10026925","CCC1000",27
,"6IN TODLER RUST 22050","RUST HONEY","10027029","OIO0500",70
,"JUNIOR ROCK SKIPER NAVY","NAVY","10035544","HAT8003",49.99
,"WOMENS 6 INCH WHEAT NUBUCK PREM BOOT","WHEAT","10027600","SNB2001",180
,"25346 LONG JUMP STEP IN - BLUE","BLUE","10027730","TIF1001",54.99
,"25368 TRIATHALON OXFRD WHITE/TEAL","WHEAT","10027760","KAP1001",64.99
,"EURO SPRINT WHEAT 28020","WHEAT","10027787","LCD8610",89.99
,"1K576 ONE STAR THONG BRONW/BLACK","","10027909","IKA4001",34.99
,"CT AS SPECIALTY OX SWEAT CHAR/BLK/WHI/RED","CHARCOAL","10028607","HTH2110",39.99
,"M9613 - MAROON ALL STAR HI","MAROON","10028620","BEL2001",55
,"107224 CT MULT UPP HI BLK/WHT","BLACK","10028711","ITQ9901",36.99
,"DM 7EYE STEEL TOE BLK PLU 383","BLACK","10029710","BOW1233",94.99
,"UNISEX CLASSIC CHELSEA BLK 36040","BLACK","10029749","POL5611",159
,"UNISEX 1461 CLASSIC BLK SMOOTH 29055","BLACK","10029775","JER6210",129
,"UNISEX 1461 CLASSIC BLK HARVEY 31080","BLACK","10029788","ESZ1001",100
,"STEEL TOE SHOE BLK PLU 382","BLACK","10029853","EML1001",84.99
,"UNISEX 2976 GAUCHO","DARK BROWN","10029996","BOY2001",159
,"2976 GAUCHO 34010","DARK BROWN","10030000","BOS1001",109.99
,"BLACK PATENT WALKSTAR 3","BLK PATENT","10030061","JUT9001",44.99
,"57003 - TRADITIONAL PLU15","TAN","10030734","UPS3180",95
,"13111400 - MARIA PLU:41","MULBERRY","10030760","BEU9971",39
,"CHRISTINA WHITE 7050","WHITE","10030773","LOI3310",29.99
,"LOUISA DEEP RED MIRAGE 10000","RED","10030786","TOM9631",34.99
,"LANGLEY TAN 10000","TAN","10030838","RTR1921",52.99
,"LOUISA DARK BROWN 10000","DARK BROWN","10030890","BAN8961",34.99
,"MARIA BLACK PALATINO 10000","BLACK","10030916","HEE9871",38.99
,"SHERMAN BLACK 15000","BLACK","10030929","UGA2311",44.99
,"IRIS BLACK 15000","BLACK","10030942","WER3212",34.99
,"SHERMAN BROWN 15000","BROWN","10030981","FEB7661",45
,"MENS H2285ARLOW IM TRAINERS WHITE","WHITE","10030997","HEI8551",55
,"MENS AS FULTON KURIM/LEATHER FATIGUE GREEN/BLACK/WHTE","FATIGUE GREEN","10031010","WER1112",65
,"WOMENS CHUCK TAYLOR ALL STAR METALLIC GLACIER/WHT/BLK","GLACIER","10031098","POL4111",47
,"YOUTH BLK/WHITE LEAT 15000","BLACK","10031124","GDF1313",29.99
,"WOMENS CHUCK TAYLOR ALL STAR METALLIC SUNSET GLOW/WHT/BLK","SUNSET GLOW","10031233","AAA1211",47
,"YOUTH CHUCK TAYLOR ALL STAR STREET: BASICS BLK","BLACK","10031247","ALI1112",35
,"LEGO VELCRO BLUE 28000","BLUE","10031272","BBB1111",49.99
,"YOUTH CHUCK TAYLOR ALL STAR STREET: BASICS","WHITE","10031385","BER1111",35
,"UNISEX CHUCK TAYLOR ALL STAR II WHT OX","WHITE","10031398","PIC1111",60
,"GIZEH BLK PATENT 20000","BLK PATENT","10034204","BJP6019",65
,"STEEL TOE CAP HONEY","HONEY","10032175","IRO4004",48
,"VEW4PBQ - VANS ERA PLU39","PEWTER","10032345","DEF3001",49.99
,"UNISEX 1461 SMOOTH - 11838002","BLACK","10032597","DIY6320",129
,"111175 SHEARLING HI CHOCO/WHITE","CHOCOL","10032649","YTR2240",49.99
,"110734 - CT HI","GREEN","10032662","TUI9300",36.99
,"LEATHER SANDAL 34000","BEIGE","10032701","UKS6001",84.99
,"RAVEL EXTREME STONE 18000","STONE","10032888","BBI1550",44.99
,"RAVEL EXTREME BROWN 18000","BROWN","10032901","ZEX4432",44.99
,"RAVEL EMILY BLACK 20000","BLACK","10032914","BOB2001",49.99
,"RAVEL EMILY BROWN 20000","BROWN","10032927","AIM3206",49.99
,"151 REGULAR WHITE HORSE LEVIS 15000","WHITE","10033213","FAB3001",37.99
,"PUMP SILVER 21000","SILVER","10033551","NPS3001",42
,"TODLER LO TRAINER 15000","WHITE","10033681","ZCX3001",29.99
,"UNISEX CHUCK TAYLOR ALL STAR II BLK/WHT OX","BLACK","10033777","EMM1111",60
,"FERRIS BLK/WHITE PLU 67","BLACK","10033842","BEN2001",39.99
,"BLK PATENT HEEL 20000","BLK PATENT","10033920","TDS9001",44.99
,"26683 WMLT - JAZMINE","WHITE","10034011","SEL3001",44.99
,"MADRID PURPLE/MATT 15000","PURPLE","10034050","GAS5001",39.5
,"440831 MADRID ICE PEARL OPAL","BLUE","10034090","RIN0040",39.5
,"MADRID DARK SILVER 15000","SILVER","10034135","KAT8002",44.95
,"431453 KIDS RIO BIRKO-FLOR","ICE PEARL AMETHYST","10034144","JDS5001",34.99
,"METALL STRASS ARGENTO 15000
PLU:C159","ARGENTO","10034158","ARR5002",49.99
,"051791 - ARIZONA BIRKO FLOR","BLACK","10034209","BNS1003",65
,"051701 - ARIZONA BIRKO FLOR","BROWN","10034226","NIC1001",65
,"97571 4EYE CHUKKA BLUE","BLU WHITE","10034240","POP1001",90
,,"BLOSSOM","63481788","LNK5822",35
,,"BLOSSOM","79163186","HYW3723",35
,,"NAVY","18477552","YLG6746",34.99
,,"WHITE","85263561","RRJ2375",34.99
,,"BLACK","12287332","BNN4823",50
,"KIDS KICK HI GOLD/LEATHER","GOLD","26947598","HDG2816",50
,,"PINK","88896185","FWZ5315",49.99
,,"RED","77613961","PSH1647",45
,,"WHITE","24164235","WRK5622",45
,,"NEUTRAL","55647147","DBV4585",2
,,"N","66727467","XSB2348",0
,,"CHOCOL","18658427","YSS6454",25
,"KIDS NAVY BLUE BOOTS","NAVY BLUE","67777468","CDZ1563",50
,,"WHITE","93739797","GLL6764",29
,"SNEAKIE LO BLACK CANVAS KICKERS","BLACK","95487299","VKG3147",18.99
,,"GREY","76762185","CAK7313",18
,"LO NAVY CANVAS","NAVY","74943392","HJZ3944",18.99
,"KICK HI FOIL FUSCIA","FUSHIA","34112313","XXZ3645",70
,"SILVER KICK HI FOIL","SILVER","25439127","RGX2382",37.99
,"HOT PINK KIDS KICKERS","HOT PINK","57298133","BEF8637",29
,"VEW411F VANS U ERA GOTHIC GRAPE/BLK M CANVAS SHOES","BLK","33676831","FVJ7342",42.99
,"AUTHENTIS GOTHIC GRAPE","PURPLE","45688323","NFW1897",21.99
,,"PINK","32229368","RBM4846",40
,"AUTHENTIC CHECKERBOARD BLK","BLACK","43182362","JPR3783",40
,"ERA BLACK","BLACK","58851538","EJR2271",40
,"UA ERA NAVY","NAVY","51382248","SCH3593",55
,"U AUTHENTIC MENS TRAINERS BLACK","BLACK","64677853","NVJ4322",55
,"AUTHENTIC NAVY","NAVY","39346773","TYC2618",39.99
,"KIDS CANVAS TRAINER","WHITNVY","76813723","GRL2779",50
,"JUNIOR TRAINER","WHITNVY","37894332","REH9414",52
,"JUNIOR SANDAL CHOC","CHOCOL","39132249","JML6227",44
,"JUNIOR SANDAL","NAVY","43726319","NJC5948",44
,"MENS FLIP FLOP","BLACK","68161949","ZDR4955",25
,"FLIP FLOP MENS","NAVY","94892241","YPC1431",25
,"CASUAL TRAINER","BLACK","58222134","ZSF5649",35
,"SANDAL OFF WHITE","OFFWHITE","74844447","FCJ2213",68
,"HI HEEL SANDAL","BLACK","27193173","EHT4728",28
,"HIGH HEEL SANDAL","WHITE","87551252","XKK4818",60
,,"BEIGE","53936413","XSM3591",89.99
,"HI HEEL SHOES /SANDAL","BROWN","22381759","EFG1229",56
,"MENS SANDAL","BROWN","67685899","TWV1723",23
,"MENS SANDAL","BEIGE","99419372","ZWW6321",23
,"MENS TRAINER","WHITE","46927894","ASV7354",69.99
,"CASUAL TRAINER","RED","75424486","NSD8794",49.99
,"CASUAL TRAINER","WHITE","71633482","DPW5552",50
,"CASUAL TRAINER","BLACK","24245594","LLK5695",85
,"CASUAL TRAINER","WHITE","82135356","CZE3631",85
,"WILLIE NAVY BLUE","NAVY","27249815","SZK3646",44.99
,"WILLIE WHITE CANVAS","WHITE","84347158","AFW1291",44.99
,"WILLIAM WHITE CANVAS","WHITE","96136667","PVR5759",44.99
,"HORSE BLACK CANVAS","BLACK","98398598","TNZ1184",37.99
,"HORSE DARK PURPLE CANVAS","PURPLE","83821671","FDP8362",39.99
,"CTAS CAMO PRINT CANVAS OX BLACK/BELUGA/PRINT 14000","BLACK","39166831","BNA4595",27.99
,"7J237 A/S OX KIDS NAVY 10050","N","87894472","WCT1922",21.99
,"CTAS SPARKLES CANVAS OX FESTIVAL FUSCHIA/WHITE 10050","FUSHIA","67746554","TVS9617",27.99
,"CTASB SPARKLES OX SILVER CLOUD GREY WHITE 14000","SILVER","58548412","GYL9975",27.99
,"CTAS SPARKLES OX SILVER CLOUD GREY WHITE 14000","GREY","98722214","YAE2262",21.99
,"CTAS CLOWN FISH OX CANVAS ORANGE/WHITE","ORANGE","72743513","SXB6827",23.99
,"CTAS SHARK OX CANVAS LIMSTONE/WHITE 12000","WHITE","82812463","EWY8912",23.99
,"SPARKLE CANVAS OX FESTIVAL FUSHIA/WHITE 16050","FUSHIA","99276624","PNS3552",33.99
,"CTAS CAMO PRINT CANVAS OX BLACK/BELUGA/PRINT","BLACK","54339648","CYH8676",33.99
,"SPARKLE CANVAS OX SILVER/CLOUD GREY/WHITE","SILVER","25431529","SHL4939",33.99
,"A/S OX KIDS NAVY","NAVY","57628357","PDR7851",32
,"A/S OX KIDS OPTICAL WHITE 
PLU 119","OPT WHITE","89353456","TSG5892",35
,"A/S OX KIDS PINK","PINK","37739329","LST8367",32
,"ALLSTAR HI BLACK","BLACK","36759971","RCP9327",36.99
,"ALLSTAR HI NAVY COM9622 17050","NAVY","56117853","BHM8598",36.99
,"ALLSTAR OX BLACK 16050 COM9166","BLACK","55719421","FNW1198",34.99
,"ALLSTAR OX OPTICAL WHITE 16050 COM7652","OPT WHITE","41174256","HMN7914",34.99
,"COM7650 ALLSTAR HI OPTICAL WHITE 17050","OPT WHITE","83717713","VTV5884",38.99
,"ALLSTAR HI RED 17050 COM9621","RED","23268416","RRK7917",36.99
,"ALLSTAR HI RED 17050 COM9621","RED","97298366","XVB4542",36.99
